SampleId,Area_Name,Area_Code,Latitude,Longitude,Year,Month,Day,Hour,Minute,PCI
467V--1,4.a,3,58.7717,-3.32,1984,12,22,21,46,0
468LR-1,4.a,3,59.0956,-3.9045,2003,1,18,0,51,0
468LR-27,4.b,2,55.2709,-0.4922,2003,1,17,5,52,2
468M--7,4.a,3,57.645,-0.103,2019,1,6,20,1,0
468M--21,4.a,3,58.545,3.97,2019,1,7,5,28,0
468R--6,4.c,1,52.1148,3.196,2003,3,14,11,8,2
469A--7,4.a,3,58.4883,-1.44,1988,5,16,0,22,0
469C--29,4.b,2,57.375,4.7767,1980,2,20,17,8,0
469C--35,4.a,3,58.3467,5.2267,1980,2,20,22,0,0
46KC-19,4.b,2,56.183,2.587,2016,9,11,3,1,2
46KC-35,4.b,2,53.805,0.485,2016,9,11,17,15,2
46LG-15,4.b,2,54.0117,4.1783,1985,2,16,20,15,0
46LG-27,4.b,2,55.59,6.305,1985,2,16,12,7,0
46LG-31,4.b,2,56.1167,7.0317,1985,2,16,9,25,0
470A--7,4.a,3,59.185,-1.7267,1988,6,12,21,45,0
470C--5,4.b,2,54.3083,0.97,1980,3,12,5,16,0
470C--33,4.a,3,58.41,4.9817,1980,3,13,3,33,0
470R--6,4.c,1,52.0986,3.3135,2003,5,9,14,37,2
471A--5,4.a,3,58.16,-1.5083,1988,7,20,1,54,2
471A--11,4.a,3,59.155,-1.2983,1988,7,19,21,34,2
471C--15,4.b,2,55.775,2.3733,1980,4,16,3,51,0
471C--21,4.b,2,56.6517,3.2333,1980,4,16,7,42,0
471LR-5,4.a,3,58.686,-3.082,2003,4,11,20,31,1
471LR-31,4.b,2,54.6936,-0.1842,2003,4,11,2,37,2
472A--5,4.a,3,58.1617,-1.6283,1988,8,10,2,1,6.5
473A--9,4.a,3,58.8183,-1.37,1988,9,6,23,2,0
473LR-5,4.a,3,58.7056,-3.0834,2003,6,6,21,1,1
473LR-31,4.b,2,54.712,-0.1768,2003,6,6,4,7,2
473M--13,4.a,3,58.057,1.647,2019,6,15,18,51,1
473M--21,4.a,3,57.514,-0.627,2019,6,16,0,27,1
474A--7,4.a,3,58.4883,-1.44,1988,10,12,0,11,0
474LR-3,4.a,3,58.914,-3.746,2003,7,5,6,51,6.5
474LR-19,4.b,2,56.7127,-1.2593,2003,7,4,19,20,2
474LR-33,4.b,2,54.4781,-0.073,2003,7,4,8,13,2
474M--9,4.a,3,57.792,0.512,2019,7,7,23,10,1
474M--17,4.a,3,58.317,2.828,2019,7,8,5,15,1
475C--7,4.a,3,58.4133,2.715,1980,10,5,5,43,0
475M--7,4.a,3,57.679,0.037,2019,8,12,2,45,1
475R--2,4.c,1,51.8793,2.0858,2003,10,27,14,17,1
476C--5,4.b,2,55.9367,-0.0833,1980,11,9,15,21,0
476C--23,4.a,3,58.2117,3.51,1980,11,9,1,35,0
476M--1,4.b,2,57.223,-1.763,2019,9,9,5,20,1
476M--19,4.a,3,58.452,3.38,2019,9,9,15,14,1
476R--5,4.c,1,52.0792,3.0184,2003,11,15,17,1,1
477A--9,4.a,3,58.8183,-1.37,1989,1,17,23,50,0
477C--13,4.b,2,56.99,0.93,1980,12,14,22,35,0
477C--27,4.a,3,58.9217,3.3933,1980,12,14,8,21,0
477M--1,4.b,2,57.223,-1.757,2019,10,6,20,25,1
477M--11,4.a,3,57.917,1.07,2019,10,7,4,6,1
477R--5,4.c,1,52.079,2.9782,2003,12,9,9,1,1
478A--7,4.a,3,58.4867,-1.44,1989,2,8,1,16,0
478C--7,4.b,2,56.1333,-0.1067,1981,1,11,19,37,0
478M--15,4.a,3,58.183,2.221,2019,11,7,3,25,2
479C--11,4.b,2,56.7067,0.61,1981,2,22,20,9,0
479C--23,4.a,3,58.37,2.6767,1981,2,22,11,24,0
479LR-13,4.a,3,57.5442,-1.7098,2003,12,5,20,23,0
479LR-33,4.b,2,54.3497,-0.0121,2003,12,5,6,56,1
479M--23,4.a,3,58.672,4.622,2019,12,15,16,54,1
47DI-41,4.a,3,58.427,4.868,2020,11,20,22,29,1
47KC-7,4.a,3,57.755,5.462,2016,10,15,21,50,1
47KC-19,4.b,2,56.112,3.422,2016,10,16,9,3,1
47KC-31,4.b,2,54.585,1.207,2016,10,16,19,25,2
47KC-33,4.b,2,54.293,0.93,2016,10,16,21,5,2
47LE-1,4.b,2,55.0267,-1.1433,1983,9,8,16,26,2
47LE-15,4.b,2,55.195,2.9167,1983,9,9,0,28,2
47LE-29,4.b,2,55.3633,6.9933,1983,9,9,8,28,2
47LG-9,4.c,1,53.1567,3.0617,1985,3,24,5,57,1
47LG-19,4.b,2,54.4783,4.7783,1985,3,23,22,56,1
47LG-27,4.b,2,55.535,6.1933,1985,3,23,17,21,1
47LG-37,4.b,2,56.8567,8.015,1985,3,23,10,19,6.5
480C--3,4.b,2,55.545,-0.76,1981,3,15,21,9,0
480C--13,4.b,2,56.9367,0.8883,1981,3,15,14,24,0
480C--33,4.a,3,59.7183,4.3817,1981,3,15,0,52,0
480LR-15,4.b,2,57.1277,-1.4803,2004,1,16,9,20,0
480M--3,4.b,2,57.37,-1.191,2020,1,13,2,46,1
480M--23,4.a,3,58.694,4.563,2020,1,13,16,31,1
480R--5,4.c,1,52.1008,2.9236,2004,3,6,15,50,6.5
481C--19,4.a,3,57.7733,1.8633,1981,4,12,8,45,0
481C--35,4.a,3,59.9983,4.705,1981,4,11,22,14,0
481LR-27,4.b,2,55.3122,-0.5054,2004,2,13,9,39,0
481M--13,4.a,3,58.098,1.672,2020,2,28,2,26,0
481R--5,4.c,1,52.1017,2.9617,2004,4,15,15,10,1
482C--5,4.b,2,55.9367,-0.3633,1981,5,17,19,29,0
482C--27,4.a,3,58.9667,3.4683,1981,5,17,3,16,0
482LR-35,4.b,2,54.0302,0.1425,2004,3,11,23,57,0
482M--3,4.b,2,57.38,-1.177,2020,3,12,1,23,1
482M--21,4.a,3,58.552,4.033,2020,3,12,14,25,1
482R--5,4.c,1,52.1019,2.9711,2004,5,11,15,10,6.5
483C--25,4.a,3,58.6267,2.9983,1981,6,14,5,48,0
483C--31,4.a,3,59.4567,4.08,1981,6,14,1,30,0
483LR-11,4.a,3,57.8429,-2.0055,2004,4,9,23,2,6.5
483M--9,4.a,3,57.78,0.465,2020,3,31,7,44,2
483R--4,4.c,1,51.9477,2.5988,2004,6,5,14,16,2
484C--27,4.a,3,57.575,4.2467,1981,7,18,14,11,0
484LR-19,4.b,2,56.5854,-1.1808,2004,5,7,12,38,2
485A--11,4.a,3,59.155,-1.2983,1989,9,12,21,37,1
485C--31,4.a,3,58.3117,4.9333,1981,8,15,14,37,1
